CHROM	START	END	BRCA_METH	BRCA_DEPTH	CEAD_METH	CEAD_DEPTH	CESC_METH	CESC_DEPTH	COAD_METH	COAD_DEPTH	OV_METH	OV_DEPTH	READ_METH	READ_DEPTH	B cell_METH	B cell_DEPTH	CD4+ T-cell_METH	CD4+ T-cell_DEPTH	CD8+ T-cell_METH	CD8+ T-cell_DEPTH	Erythroblast_METH	Erythroblast_DEPTH	Monocyte_METH	Monocyte_DEPTH	Natural killer cell_METH	Natural killer cell_DEPTH	Neutrophil_METH	Neutrophil_DEPTH
chr7	154859225	154860415	2427	3391	123	143	65	81	1126	1333	217	303	587	760	2701	3024	10017	10647	3161	3445	3563	4259	4266	4611	3620	4015	13631	14976
chr2	24121194	24121707	1132	1357	47	58	88	90	304	345	47	94	329	364	954	988	869	895	552	569	475	505	753	802	560	586	2344	2468
chr21	45384336	45384703	1347	2002	75	83	26	60	333	462	107	127	183	408	1180	1320	2190	2314	1300	1465	860	964	1417	1555	1489	1615	4870	5372
chr6	112581431	112581968	1809	2021	127	142	181	216	466	587	149	177	248	422	1209	1341	2059	2140	852	896	932	1075	852	896	923	968	3829	4123
chr22	37324907	37325475	350	1686	23	142	36	69	172	1093	25	219	72	649	278	2205	416	4569	269	1953	105	1993	283	3390	308	2277	767	8133
chr12	64621021	64621638	1280	1390	72	88	34	36	344	403	88	103	330	371	241	1200	562	586	532	539	343	396	569	925	537	582	1562	2677
chr12	120434363	120434985	899	1072	59	75	41	68	312	345	115	124	173	211	846	899	675	704	474	507	361	410	664	724	443	485	1979	2129
chr3	182478968	182479383	1088	1224	74	83	76	79	180	268	159	167	67	265	638	676	906	951	503	523	457	543	555	572	399	428	1922	2029
chr7	1000125	1000514	1194	1373	46	49	50	60	566	747	89	111	342	400	92	930	3840	4004	1221	1297	1558	1707	1802	1913	1560	1694	6104	6517
chr3	150519747	150520335	4369	4976	246	256	273	292	707	1541	315	392	144	1573	4206	4401	6952	7243	3850	4113	3108	3396	4223	4376	3591	3836	14360	15325
chr2	235004296	235004566	707	811	35	37	30	31	54	173	48	53	173	200	423	464	337	350	367	383	111	127	369	401	334	359	1315	1461
chr13	99150542	99150863	711	782	23	27	13	43	307	344	64	74	222	256	641	695	1261	1290	554	571	555	621	718	732	581	610	2207	2301
chr19	17540109	17540409	733	1000	34	67	27	34	373	476	55	121	307	383	685	802	1920	2377	826	1016	847	1306	969	1398	1060	1331	3630	4826
chr15	90228199	90228840	1849	2081	109	125	54	65	1053	1223	194	212	458	530	1939	2053	7692	7934	2640	2746	3910	4172	3533	3681	3287	3464	11641	12192
chr12	64716704	64717267	1140	1236	49	55	64	66	288	303	104	108	254	293	909	932	431	440	244	255	274	287	615	641	115	247	1626	1688
chr14	39154679	39155306	1247	1406	85	104	106	112	368	439	65	83	230	265	1133	1256	511	529	404	424	274	282	638	719	419	456	272	1791
chr5	127755468	127756808	1356	3928	268	298	224	261	1025	1138	337	401	836	992	2825	3042	3399	3567	1834	1925	1440	1685	2292	2432	1849	1989	8187	8647
chr19	5197498	5198352	1843	2035	97	112	66	71	450	551	148	177	302	484	1763	1911	1765	1823	868	900	807	882	995	1039	779	813	3604	3799
chr21	43025075	43026233	1457	1776	87	116	67	77	370	424	45	193	291	339	1213	1312	523	613	384	485	274	307	690	707	517	548	2144	2239
chr3	106781910	106782459	769	865	33	45	52	58	143	217	122	130	61	239	644	720	1099	1152	649	701	485	578	661	727	632	698	2528	2823
chr3	42488968	42489679	369	992	47	55	52	61	287	378	74	88	288	366	988	1039	1210	1254	803	845	492	571	1075	1160	817	898	3451	3688
chr17	841435	842565	4649	5598	256	309	169	212	2363	2780	456	503	645	988	6433	7228	13124	14134	4591	4964	5610	6496	6315	6724	3698	4058	20307	22014
chr3	12291016	12293167	3901	4625	172	241	328	365	1137	1280	372	436	241	1315	2429	2651	2207	2299	1856	1977	914	1179	2198	2268	1896	2045	7609	8061
chr5	61370654	61371192	1117	1216	80	109	50	61	166	243	109	125	57	247	498	535	225	229	226	240	137	146	317	334	233	250	954	991
chr1	167445177	167446857	3696	4747	140	175	120	159	891	1229	282	339	859	1088	2557	2720	1642	2190	891	1239	1677	1943	2701	2868	376	1403	8324	8962
chr12	615037	615446	770	872	48	53	14	36	172	216	122	131	198	212	759	774	736	747	433	453	303	327	571	592	547	578	1775	1898
chr11	70436982	70437618	1175	1442	59	68	51	59	560	658	111	129	346	405	140	1595	4779	5497	1699	2064	2440	2720	2105	2447	1792	2217	6782	7930
chr2	120875639	120875928	750	925	39	58	30	40	159	253	66	71	70	266	555	637	1072	1115	702	763	424	485	816	866	777	843	2845	3023
chr1	212959697	212960687	2666	3069	114	132	87	119	679	859	207	229	596	698	1664	2169	3304	3408	1703	1831	1253	1511	2317	2425	1822	2008	7324	7645
chr9	121987555	121987836	795	868	30	33	26	26	319	343	52	91	165	188	734	765	2235	2289	659	693	926	980	972	1018	835	879	3266	3399
chr4	17694087	17694473	852	974	53	59	22	48	298	375	112	131	223	284	1091	1192	482	531	338	380	190	230	726	773	263	309	1498	1652
chr1	209448861	209449538	2218	2623	65	82	43	56	603	844	133	152	284	513	981	1090	1295	1461	402	460	377	474	892	966	553	618	1922	2148
chr4	75448245	75448494	842	988	48	52	51	55	394	443	33	78	203	242	846	908	562	578	387	395	255	279	402	430	391	426	1363	1423
chr14	64294563	64294832	80	757	3	27	12	32	120	281	1	70	1	156	24	990	31	975	42	874	23	519	41	1227	31	838	68	3532
chr3	51955960	51956458	195	3112	4	111	11	50	1468	2333	18	269	90	1297	201	3609	1293	28050	291	6872	315	15852	155	8957	229	8605	700	31043
chr6	150740459	150741228	1399	1754	97	128	183	243	473	547	71	184	339	400	976	1031	907	957	437	452	413	470	627	676	386	413	1920	2062
chr12	123764287	123764609	1032	1380	53	66	85	112	277	455	69	116	47	263	924	969	1927	1997	1028	1073	751	862	1090	1152	1101	1152	3873	4076
chr16	86278454	86279056	726	1321	97	122	74	86	491	609	119	156	49	311	1050	1213	2659	2917	747	890	881	1114	969	1098	839	1079	3047	3676
chr7	28043349	28043620	1114	1188	34	42	44	46	199	257	89	98	119	261	773	802	573	588	504	513	261	269	608	624	457	469	2111	2168
chr2	173353075	173353406	881	1058	79	88	55	64	325	347	93	111	93	270	603	644	1891	1944	719	744	806	886	815	839	727	775	2619	2730
chr9	95580674	95581627	1565	1974	95	98	70	87	282	443	170	211	97	510	1535	1727	2252	2493	1277	1401	652	853	1602	1902	1264	1471	4909	5518
chr5	10267982	10268884	2141	2670	70	85	73	122	582	793	125	150	416	561	1869	1982	2869	2965	1470	1557	1166	1243	1749	1887	1629	1756	6738	7150
chr16	1766289	1766846	1476	1655	82	89	60	68	703	783	138	148	544	597	1447	1501	6268	6481	1860	1930	2820	2993	2755	2870	2311	2431	8711	9167
chr3	39809864	39810362	115	2765	49	144	117	127	146	1339	10	223	27	1265	98	3785	159	12070	47	4765	31	6203	26	5201	38	4857	52	17821
chr11	68122631	68123079	1540	1950	106	116	106	112	683	777	157	172	131	498	1550	1610	4451	4650	1190	1248	3049	3284	1676	1777	1648	1766	5787	6244
chr16	89373454	89374022	1774	2133	119	144	35	62	1003	1189	165	176	542	638	1948	2017	4865	5126	1565	1728	2772	2997	2639	2812	2172	2375	8906	9620
chr8	38593938	38594384	1514	1709	74	80	72	87	306	399	150	176	143	232	1097	1161	488	513	566	588	306	350	842	881	513	553	2496	2616
chr13	99829703	99829978	851	996	42	43	32	37	170	301	83	90	102	327	866	935	1013	1037	720	750	470	520	928	972	748	812	3321	3527
chr22	43929201	43929755	861	1038	62	100	42	88	324	366	87	155	231	268	977	1092	638	653	582	617	370	406	878	911	581	613	2619	2792
chr16	22417082	22417781	1148	1324	73	73	55	65	477	570	72	91	310	362	1029	1079	1922	1975	666	690	817	933	233	709	771	807	2438	2912
chr17	16400143	16400914	1086	1256	85	96	40	43	266	323	136	146	121	281	1197	1243	610	640	603	624	269	303	924	1012	540	566	2225	2445
chr9	111362623	111363332	591	1679	80	105	179	202	339	376	137	160	311	403	847	870	339	347	339	351	137	163	503	514	310	317	1392	1475
chr1	3535889	3536456	1102	1301	64	82	61	70	575	682	118	143	98	199	954	1044	5198	5441	1502	1614	2209	2609	1934	2034	1577	1735	6158	6501
chr18	26639215	26639809	1747	2152	135	161	183	252	372	649	179	224	114	293	1191	1325	3115	3342	1296	1389	1079	1344	1466	1574	1371	1543	4966	5510
chr15	94079653	94080154	831	1113	42	70	20	88	222	317	106	126	206	242	952	1047	930	977	881	936	436	515	871	923	906	976	3421	3666
chr11	64642500	64642864	327	1261	26	71	36	60	432	675	39	123	29	471	67	887	128	6852	50	2385	75	2939	26	2404	11	2755	86	8364
chr8	69487110	69487477	834	1077	46	64	56	80	199	281	56	186	201	262	453	475	269	275	260	275	89	116	350	385	174	189	960	1061
chr22	40982787	40983340	912	1120	63	69	33	65	455	550	91	102	249	307	533	1567	3626	3791	999	1056	1490	1626	1375	1572	1045	1133	4608	4973
chr21	31266200	31266997	3121	3646	108	134	67	67	1253	1424	179	215	430	639	2956	3090	9605	9830	3560	3709	4117	4481	4780	4944	4033	4208	15532	16523
chr22	45522958	45523684	1419	1578	74	99	54	54	452	740	143	176	150	428	1129	1291	4261	4528	1451	1568	1740	2160	1725	1873	1383	1506	5335	5829
chr13	43786112	43786691	17	2923	21	174	15	91	534	828	15	277	114	759	83	1805	59	7054	23	3334	10	2890	7	3692	21	3450	13	11973
chr3	58349394	58349770	670	761	34	43	37	38	237	264	56	77	239	274	66	803	632	658	398	426	265	292	409	440	302	347	1381	1568
chr20	44140726	44142008	1479	1917	85	115	118	136	303	508	150	177	230	663	1177	1444	1314	1482	741	836	519	708	1253	1415	808	940	3077	3499
chr16	88995610	88996320	1129	1684	83	127	33	59	645	786	131	182	478	734	1656	1793	4060	4184	1950	2076	2234	2410	2264	2337	2085	2211	7719	8057
chr14	23308836	23309446	1319	1547	71	75	22	62	599	686	111	124	190	214	1003	1065	4559	4840	1203	1302	2402	2714	1525	1634	1195	1341	4927	5523
chr6	70166346	70166721	54	1872	18	90	32	88	133	561	11	258	15	558	296	1992	58	983	109	1042	36	682	104	1318	97	1260	276	4621
chr7	151241847	151242218	899	1080	26	27	18	18	494	587	64	69	114	251	1045	1118	4114	4312	1178	1243	2033	2276	1400	1509	1391	1495	4662	5154
chr12	27873202	27873615	1383	1543	86	89	45	48	402	442	62	160	273	305	1116	1166	2870	2988	826	869	866	951	1400	1467	995	1055	3864	4083
chr16	79473172	79473751	718	1120	44	61	47	79	110	260	56	94	44	269	684	843	585	632	456	535	249	338	811	873	580	644	2067	2340
chr14	36657683	36658810	1977	4610	98	185	107	130	1300	2016	86	364	359	881	602	5512	970	15531	411	5905	154	7113	289	8299	310	7188	770	25216
chr14	102351075	102352729	3659	4032	205	235	186	207	1164	1298	204	285	542	611	2811	2915	3477	3604	2034	2095	1801	1952	2158	2696	1919	2003	2467	7022
chr6	43780801	43781078	372	826	45	54	39	43	202	246	71	91	131	150	514	572	1312	1357	393	417	614	632	600	612	454	484	1720	1784
chr3	182038700	182039116	743	1010	66	88	65	89	140	197	93	114	63	247	649	776	1099	1179	496	572	433	545	598	668	457	537	1831	2104
chr12	124260814	124261282	692	1047	52	61	21	42	211	398	70	92	104	249	926	1115	2939	3172	1269	1423	1035	1217	1449	1596	1457	1674	5120	5766
chr2	10012749	10013392	5107	5544	171	252	77	167	813	2852	299	388	561	893	3348	3567	19631	20358	3803	3923	11220	11786	4615	4800	4038	4256	17524	18351
chr16	17384869	17385413	381	997	71	83	83	117	240	285	90	114	206	238	788	866	572	581	594	631	268	305	671	746	526	577	1913	2240
chr1	164466097	164466356	1294	1472	48	59	28	34	238	291	27	87	187	223	493	523	1029	1100	393	413	405	499	526	568	435	483	1801	1948
chr4	8850577	8851445	1558	1988	110	113	36	40	767	977	165	181	190	412	1774	2002	7009	7637	2355	2601	2489	3066	2831	3105	2637	2971	9676	10874
chr18	62876961	62878336	1678	2161	99	114	140	180	619	687	87	192	301	382	1188	1295	1753	2022	908	1066	793	908	1189	1305	936	1050	3734	4156
chr16	63264091	63264404	441	599	25	32	14	17	107	151	22	34	11	123	263	342	368	397	238	274	129	190	303	368	239	276	1086	1275
chr17	40623756	40624075	1238	1348	68	86	73	85	270	347	83	100	179	329	87	721	1047	1088	575	588	417	466	581	625	593	622	2539	2720
chr19	4751980	4752545	1267	1564	92	114	16	33	383	530	100	135	275	488	1318	1671	2986	3482	1063	1223	1264	1782	1247	1446	1075	1325	3691	4560
chr20	44713329	44713947	1708	1944	124	137	140	155	388	523	177	214	279	620	865	965	1361	1432	696	726	620	711	921	999	781	882	2890	3190
chr1	109788036	109788379	535	591	37	49	33	35	254	316	62	68	173	185	761	803	1894	1997	630	693	904	1074	791	909	254	654	1826	2620
chr12	132440191	132441878	4892	6057	190	216	135	161	1604	2282	353	443	502	1294	4449	4973	12085	12434	4907	5212	5388	6095	6622	7008	5842	6144	21246	22662
chr2	240751291	240751869	343	454	28	36	27	32	182	293	49	57	40	203	523	615	1636	1728	599	671	564	686	936	1001	609	679	2411	2610
chr3	71606627	71607206	1463	1614	66	72	104	122	276	375	91	116	199	389	764	859	571	640	559	623	279	351	555	572	581	696	2366	2456
chr6	14587314	14587926	1490	1677	79	107	85	184	297	399	172	191	274	342	1167	1486	1314	1374	839	907	516	591	1044	1072	656	696	3521	3714
chr11	66643583	66644084	2413	2700	115	125	135	137	1441	1530	136	213	765	849	2719	2783	7945	8185	2050	2132	5137	5380	3871	3999	3138	3300	13375	13911
chr6	111322143	111322798	693	1480	86	89	116	124	374	405	157	167	274	307	869	906	858	876	742	772	394	408	719	732	757	777	2723	2792
chr5	124777124	124777460	746	888	36	39	25	50	183	211	48	51	183	214	586	616	1224	1285	663	737	400	496	660	710	685	748	2539	2706
chr6	35147709	35148349	1769	2157	89	118	97	133	402	497	52	248	338	398	1083	1375	1617	1757	877	973	714	864	1006	1110	849	954	3701	4138
chr3	52534630	52535133	2123	2543	122	157	33	78	951	1071	152	257	651	778	1925	2016	8053	8329	2659	2757	5623	5957	3251	3464	3111	3253	12097	12837
chr14	43062388	43062700	1404	1586	56	62	66	73	487	563	96	119	72	301	1350	1507	3066	3252	1299	1338	1145	1272	1648	1743	1248	1374	5048	5557
chr19	2702592	2703119	242	4457	50	453	100	169	136	3024	78	697	263	1246	322	2305	395	27523	373	10058	313	20128	379	11468	302	10090	1446	31479
chr19	48219315	48219887	995	1071	54	67	22	29	339	376	31	88	288	317	1100	1203	1254	1292	899	940	526	561	1030	1070	935	977	3241	3359
chr19	6702813	6703906	2533	3166	159	190	165	202	787	983	262	308	416	893	2682	2914	3458	3643	2353	2492	1532	1808	2736	2911	2362	2571	9394	9996
chr4	3214543	3215471	879	1936	114	128	136	150	580	625	150	177	438	492	1391	1442	1972	2023	1263	1300	780	879	1496	1569	1458	1500	5042	5342
chr11	2416935	2417313	1022	1663	53	64	7	33	519	720	58	90	222	406	1276	1416	3054	3302	1144	1233	1269	1492	1407	1576	1186	1366	4658	5323
chr9	131017076	131017351	1461	1873	51	61	85	93	659	745	105	115	170	267	1264	1440	4966	5499	1893	2110	2127	2422	2068	2272	2183	2554	7351	8285
chr2	25304761	25305190	1256	1440	66	69	67	72	587	638	102	117	345	382	1153	1181	2596	2819	683	834	1282	1426	1177	1349	494	961	4088	4660
chr2	32265273	32265709	1134	1413	54	67	52	60	361	413	73	85	187	244	1111	1137	2148	2227	1075	1121	1056	1137	767	1119	1259	1345	1111	4458
chr1	10937887	10938480	1871	2240	118	138	66	75	372	624	122	146	168	500	1778	1999	4335	4512	1686	1824	1705	1909	2411	2487	2248	2429	7744	8189
chr19	50328271	50329004	523	5196	6	331	0	147	408	810	24	629	61	1713	239	4696	2051	43455	561	11236	702	33635	389	13692	709	15321	1723	47383
chr1	214464071	214464774	3142	3530	111	121	145	162	1177	1260	142	252	731	830	2221	2337	7292	7509	2052	2131	3812	4106	2647	2754	2251	2396	9532	9910
chr8	133675218	133675474	793	1135	60	67	15	48	188	313	111	126	314	372	963	1003	1029	1055	759	788	350	407	895	931	720	788	2835	2967
chr4	51908272	51909292	1431	1578	76	96	104	107	192	308	149	157	108	345	1218	1251	884	903	786	807	413	443	954	984	775	824	3499	3705
chr9	131535390	131535926	1033	1120	36	37	44	45	354	422	71	73	139	295	945	979	1520	1547	748	778	691	763	954	994	891	928	3235	3381
chr5	173264553	173264922	953	1185	72	77	25	32	217	333	109	118	107	239	899	1050	1028	1075	697	786	442	546	977	1054	648	718	2969	3279
chr16	28116476	28117518	2858	3064	145	152	138	142	746	818	241	269	251	602	1710	1808	2906	2973	1401	1435	1468	1542	1483	1517	1368	1423	5216	5397
chr1	109671695	109672003	659	771	40	59	15	22	205	245	70	80	113	147	521	550	462	471	209	214	214	225	400	413	256	267	1146	1214
chr4	40508717	40509110	1188	1394	85	98	40	40	347	433	129	137	215	364	1040	1071	618	636	483	515	280	324	669	692	447	498	2271	2355
chr13	99374651	99375021	858	952	29	47	64	81	300	337	64	79	253	299	70	857	502	622	407	556	293	359	624	803	548	614	2136	2713
chr19	48305490	48306265	1632	1905	107	128	18	49	460	638	156	168	251	443	1641	1796	2760	2876	1109	1166	1270	1428	1660	1738	1068	1157	4062	4278
chr2	236359089	236359443	832	1020	76	79	57	69	208	295	120	153	47	293	738	811	337	359	395	424	241	264	592	632	362	381	1867	2002
chr6	161153608	161154678	2221	2529	125	141	87	115	1254	1419	193	236	491	606	2793	2993	8801	9066	3397	3514	3603	3942	3811	3949	3408	3549	14244	14870
chr4	183684203	183684726	1840	2027	74	89	165	212	109	363	174	197	317	364	953	997	164	168	244	249	110	117	411	423	189	197	979	1013
chr22	43201160	43201650	977	1076	53	58	42	51	312	379	80	98	106	221	870	963	933	981	355	391	435	493	651	674	397	442	1731	1843
chr20	24807933	24808373	1064	1391	72	100	59	75	336	532	136	156	117	396	1142	1228	2275	2429	783	872	732	903	1232	1292	942	1097	4291	4581
chr16	12665147	12665851	1304	1595	62	72	40	66	268	294	129	143	351	377	925	993	348	358	468	489	181	205	499	512	461	499	1898	2001
chr19	38258973	38259291	888	1016	33	42	9	17	298	369	100	125	212	290	786	905	1239	1288	775	844	608	666	965	1013	726	775	3121	3299
chr14	89466306	89467509	2611	3272	159	200	123	143	852	1136	207	243	471	591	2063	2521	3964	4250	1226	1841	1861	2045	1752	2512	378	1881	5412	8207
chr3	187725445	187725964	1355	1516	114	133	81	103	488	520	56	105	571	627	1337	1392	2925	2979	1229	1265	1419	1493	1265	1305	1090	1157	4086	4337
chr6	109858572	109859527	1857	2189	83	103	92	101	849	1000	122	138	276	456	1332	1494	3123	3294	1014	1089	1393	1584	1428	1485	1062	1179	4604	4851
chr7	155421386	155421854	552	804	32	32	29	31	182	259	47	62	88	282	690	748	684	733	615	666	262	323	786	837	553	624	2432	2683
chr2	98793660	98794782	463	1907	91	110	93	141	276	347	172	234	465	535	1125	1286	1220	1299	1147	1239	426	598	1104	1284	1137	1296	3729	4543
chr22	44298422	44298791	496	646	25	27	14	15	215	337	60	67	69	147	557	656	3537	3722	1068	1145	1483	1763	1329	1456	1272	1377	4522	5042
chr14	55337014	55338342	1657	2267	113	136	169	210	549	660	171	208	318	362	1849	2018	662	767	692	845	420	463	1138	1173	129	365	3522	3682
chr11	65586601	65587300	745	884	34	35	50	60	312	398	63	105	233	288	741	854	2344	2429	778	843	1140	1256	322	1107	869	966	2236	3421
chr19	11137040	11137330	1028	1230	62	68	55	62	370	443	169	186	172	390	1064	1152	1169	1194	795	819	554	585	1040	1076	786	818	3510	3657
chr17	2793192	2793597	792	946	46	53	45	52	308	392	81	98	139	189	1004	1203	1903	2008	668	912	869	990	957	1094	115	1187	2216	3529
chr9	131119238	131119713	1303	1523	81	103	62	69	356	403	107	122	150	302	1118	1298	2200	2294	1250	1321	1014	1162	1273	1344	1417	1523	4832	5188
chr17	59430197	59430628	2863	3160	80	95	83	95	380	525	141	163	129	428	1200	1304	2776	2858	1397	1472	1182	1323	1601	1661	1446	1576	5115	5392
chr2	108833766	108834076	1601	2062	81	97	116	130	456	576	173	191	148	494	1373	1411	1320	1380	523	576	570	598	652	670	713	762	2568	2731
chr19	18518715	18519188	1375	1503	72	80	33	51	412	504	111	132	354	417	1107	1180	2848	2971	1145	1182	1856	1972	1241	1402	1216	1282	3762	4396
chr5	952605	953581	1617	1996	81	112	44	95	531	682	107	157	358	522	1341	1674	4458	4942	1794	2093	1422	1998	2192	2613	2016	2338	6998	8420
chr9	135945812	135946255	1659	1798	63	72	41	55	952	1030	145	158	376	419	1845	1882	8340	8529	2608	2668	3289	3570	2998	3093	3075	3162	10823	11192
chr19	43951231	43951589	30	2789	24	137	12	75	553	1042	28	273	39	1013	64	2936	45	3547	31	2302	9	1402	6	2955	9	2397	1	9075
chr17	73194140	73194654	2094	2983	178	275	148	222	595	897	160	328	353	680	1684	1825	3196	3362	1418	1516	2252	2391	1691	1771	1586	1721	6481	6920
chr15	60273760	60274468	892	1086	44	47	51	76	272	386	100	109	37	125	836	931	1815	1876	880	925	657	816	977	1030	944	999	3350	3606
chr11	113892641	113893864	2777	3070	186	221	158	210	929	1103	242	295	663	939	3209	3337	4208	4356	1910	1984	1870	2038	2683	2790	2053	2169	8583	9108
chr2	237219	237935	842	901	78	78	80	87	205	226	87	98	172	189	603	657	751	791	488	552	335	393	589	641	214	508	1770	1991
chr14	58593092	58594056	661	807	45	55	34	63	219	282	60	74	136	175	669	768	395	407	301	322	166	204	488	517	279	304	1383	1459
chr8	38362603	38363132	1199	1626	51	80	80	114	298	419	390	426	232	286	26	1044	112	171	293	373	250	274	384	591	284	361	1758	1977
chr12	49181933	49182252	1508	1856	48	64	64	73	421	462	40	120	231	320	1308	1379	1639	1698	731	761	783	848	830	896	670	709	2844	3176
chr15	23888172	23889089	1827	2572	117	140	66	117	763	926	154	190	395	488	1859	2129	3340	3565	1213	1308	1084	1341	1984	2223	1571	1729	5918	6692
chr6	166566848	166567318	789	938	47	63	17	40	323	404	53	83	240	306	944	1046	1856	1898	1001	1035	717	855	1288	1344	942	1011	4178	4334
chr4	123871726	123872303	1136	1381	69	83	86	109	178	260	92	139	76	319	767	869	372	391	360	385	157	193	469	505	370	398	1729	1856
chr3	11539235	11539935	1293	2808	133	135	73	88	825	916	238	255	725	773	1950	2006	3623	3695	1687	1750	1384	1506	2015	2129	1827	1890	7159	7648
chr7	66758685	66759507	1410	1709	80	103	156	170	343	455	157	204	412	527	1067	1294	784	878	553	607	392	452	314	745	292	498	52	1381
chr5	34586464	34586779	966	1354	51	65	23	99	371	464	114	129	287	381	1020	1101	2533	2642	754	806	889	1003	961	994	953	996	3465	3675
chr10	3124510	3124983	1525	1609	64	72	73	77	795	848	133	150	493	537	1771	1816	8014	8202	2099	2189	3118	3468	3049	3155	2527	2679	9789	10198
chr4	184174294	184175105	782	1199	77	99	91	116	278	452	108	138	89	296	1067	1194	1900	2041	922	1018	826	1017	1087	1196	900	1010	4366	4621
chr17	33930957	33931313	1359	1764	56	71	43	55	541	653	96	118	205	433	1576	1679	2897	3009	1478	1563	986	1183	1930	2047	1548	1645	6366	6930
chr17	81306730	81307194	894	1073	34	49	29	34	650	777	76	105	120	329	1094	1162	5947	6241	1458	1576	2193	2527	1783	2141	1809	1937	6255	7255
chr14	99987363	99988474	1361	1543	68	81	98	115	443	513	147	157	98	204	1064	1148	836	862	547	568	442	479	843	866	561	582	2287	2422
chr14	50881354	50881844	1161	1321	59	73	70	74	229	281	74	86	127	167	759	962	469	480	500	527	253	276	549	579	422	464	393	1158
chr12	31510028	31510508	1123	1369	35	40	29	31	352	439	91	97	120	314	828	919	1911	1954	689	739	805	912	1126	1173	985	1067	3984	4195
chr13	27962851	27963279	451	604	25	30	14	14	131	200	54	72	42	236	614	752	919	1185	486	664	304	498	571	798	422	630	1802	2525
chr9	127676494	127676857	1053	1231	55	69	15	39	444	510	119	137	224	247	954	1023	2215	2303	1136	1186	829	915	1373	1404	1067	1131	4001	4200
chr12	105195132	105195552	518	1202	71	71	90	95	339	361	124	138	250	281	931	955	538	553	726	745	308	332	865	892	746	777	3309	3489
chr20	57679552	57679991	787	953	18	25	21	25	305	435	71	85	114	424	736	916	2771	2876	969	1009	938	1077	1154	1229	927	1034	3532	3675
chr2	6957306	6958441	1547	1798	74	76	74	94	745	842	126	140	356	409	1632	1717	3902	4031	1482	1569	1803	1944	2112	2219	1713	1827	6678	6977
chr8	27283745	27284315	709	806	41	51	50	62	476	544	67	108	154	186	888	1024	2712	2810	1053	1101	1038	1196	642	1545	1136	1231	645	4029
chr2	43086409	43086869	705	1138	32	66	0	36	374	487	80	126	284	346	876	1091	2312	2444	966	1037	812	1014	576	1349	1027	1238	2753	3926
chr19	45188773	45189674	966	1158	66	71	55	66	241	355	71	85	216	414	1017	1122	673	708	499	544	315	366	638	666	469	503	1884	2031
chr1	161074247	161074858	1857	2502	63	68	17	35	308	401	104	124	214	245	844	907	2390	2502	852	930	1165	1298	1098	1203	641	803	3199	3669
chr2	74034914	74035621	1765	2283	139	156	96	109	562	716	162	170	512	676	1669	1770	951	974	523	589	566	604	832	876	268	538	2253	2521
chr8	56957989	56958492	315	682	49	49	29	31	147	154	122	133	139	151	388	396	399	411	264	269	199	223	384	394	273	278	1212	1250
chr18	36120457	36121033	587	1241	88	96	97	103	286	310	116	141	207	247	803	820	789	815	447	467	326	350	476	567	462	487	1526	1675
chr5	28810096	28810606	1795	2126	118	139	85	101	985	1107	201	228	335	460	2082	2197	7744	8302	2506	2658	2797	3268	2962	3142	3100	3358	11180	12043
chr17	79076903	79077657	1700	1871	82	85	61	64	385	432	168	204	208	436	1035	1085	1332	1373	744	780	677	785	1085	1127	825	851	3272	3431
chr9	137430778	137431133	688	817	38	44	17	23	259	372	58	76	83	277	396	891	2589	2759	996	1083	1051	1224	1307	1364	1089	1245	3804	4114
chr4	2166364	2166728	495	538	37	37	24	24	233	262	63	71	62	161	535	558	1174	1212	372	383	497	593	590	613	405	419	1605	1682
chr10	30526405	30527242	1320	1455	57	73	86	96	309	392	122	136	292	330	884	992	652	683	431	485	376	414	721	772	174	406	1847	2000
chr5	124206920	124207518	1088	1241	46	59	68	91	199	273	92	103	40	215	547	575	691	721	462	484	238	308	504	551	445	487	1720	1871
chr12	53309981	53310357	1110	1300	34	41	38	42	378	462	122	135	239	270	783	827	3441	3560	1140	1167	589	1471	1452	1489	1095	1142	4250	4435
chr15	36399673	36399945	862	1091	61	70	51	59	133	181	85	122	47	194	494	618	378	409	215	234	192	238	319	340	198	224	847	957
chr10	127497944	127498439	2238	3048	77	98	81	104	896	1345	172	213	383	798	2080	2295	7573	8155	2547	2810	2770	3474	3404	3659	2853	3194	11733	12723
chr17	19761088	19761982	1826	2511	148	171	179	188	663	887	205	235	184	330	1879	2060	5563	5813	2428	2669	2344	2760	2468	2755	2655	2967	8235	10429
chr10	119679161	119679415	753	854	32	48	10	59	260	306	64	93	155	197	1038	1091	896	934	599	634	377	398	683	727	646	691	2153	2527
chr12	71771235	71771765	567	1570	82	91	118	131	339	369	194	207	221	256	784	796	1287	1330	582	593	627	661	678	692	600	626	2435	2534
chr16	46916332	46916599	461	510	36	39	37	41	185	208	54	54	183	199	32	528	793	805	419	435	390	416	548	561	559	586	1906	1995
chr2	99683762	99684030	813	880	43	45	18	25	147	206	72	81	76	213	534	556	356	370	508	525	160	197	565	576	376	408	1958	2045
chr14	102353243	102353797	1130	1376	78	80	53	57	398	456	62	96	216	245	852	980	1940	2130	872	979	910	1079	1034	1147	1009	1087	1669	3676
chr4	171623300	171623551	990	1129	43	54	31	32	264	340	69	89	71	221	944	983	1210	1282	829	883	528	569	832	894	917	974	3042	3295
